Кредит (актив);Вклад (пассив);Дата погашения;Срок погашения, дней;Ставка, %;[ОТВЕТ] Номер группы;
0;5765817.81;;<30;-0.700000;;
0;407987.28;;<30;3.700000;;
0;7311462.25;;<30;6.500000;;
0;13685556.81;;<30;6.500000;;
0;161867.09;;<30;-0.100000;;
0;260885.86;;<30;0.500000;;
0;261167.63;;<30;0.500000;;
0;177942.34;;<30;-0.100000;;
0;1076991.43;;<30;0.400000;;
0;209110.49;;<30;0.750000;;
0;9251526.40;;<30;4;;
0;16603909.32;;<30;4;;
0;207004.31;;<30;0.750000;;
0;207339.78;;<30;0.500000;;
0;207768.47;;<30;0.500000;;
0;1450400;;<30;0.900000;;
0;30400000;;<30;1.721500;;
10400000;0;;<30;1.721500;;
5800000;0;;<30;1.721500;;
0;15300000;;<30;1.739200;;
10000000;0;;<30;1.657900;;
79000000;0;;<30;1.657900;;
101200000;0;;<30;1.657900;;
0;1170728;;<30;0.400000;;
0;487999.33;;<30;-0.750000;;
0;11750;;<30;0;;
0;71105.93;;<30;0.750000;;
0;210835.13;;<30;0.750000;;
0;824902.09;;<30;-0.100000;;
0;2757191.55;;<30;-0.100000;;
41300000;0;;<30;1.674600;;
0;10300000;;<30;1.674600;;
20600000;0;;<30;1.693400;;
20600000;0;;<30;1.693400;;
0;3399141.63;;<30;0.750000;;
0;4766370.26;;<30;0.750000;;
0;229852.23;;<30;-1;;
0;431947.03;;<30;4;;
0;532853.20;;<30;4;;
0;1015944.74;;<30;4;;
0;1042685.39;;<30;4;;
0;1072320.63;;<30;4;;
0;1453557.68;;<30;4;;
0;2575557.21;;<30;4;;
0;9531237.95;;<30;4;;
0;6300000;;<30;1.739200;;
10000000;0;;<30;1.674600;;
0;100000000;;<30;1.674600;;
0;20800000;;<30;1.674600;;
0;10000000;;<30;1.674600;;
10000000;0;;<30;1.685800;;
10000000;0;;<30;1.685800;;
0;11000000;;<30;1.693400;;
10400000;0;;<30;1.693400;;
10400000;0;;<30;1.693400;;
10400000;0;;<30;1.693400;;
20800000;0;;<30;1.694300;;
10400000;0;;<30;1.694300;;
10400000;0;;<30;1.694300;;
0;104300000;;<30;1.694300;;
50500000;0;;<30;1.695900;;
0;208900000;;<30;1.695900;;
41800000;0;;<30;1.695900;;
0;20900000;;<30;1.703800;;
20900000;0;;<30;1.703800;;
0;20900000;;<30;1.703800;;
0;20900000;;<30;1.708000;;
31400000;0;;<30;1.704600;;
0;47700000;;<30;1.674600;;
0;11000000;;<30;1.674600;;
0;16600000;;<30;1.674600;;
11000000;0;;<30;1.693400;;
0;10000000;;<30;1.657900;;
0;61500000;;<30;1.657900;;
19500000;0;;<30;1.657900;;
0;20800000;;<30;1.685800;;
0;50000000;;<30;1.693400;;
0;70000000;;<30;1.703800;;
0;30000000;;<30;1.708000;;
0;16600000;;<30;1.704600;;
0;20700000;;<30;1.731300;;
10000000;0;;<30;1.731300;;
0;10000000;;<30;1.734100;;
11000000;0;;<30;1.708000;;
0;206334.38;;<30;0.750000;;
0;743759.05;;<30;0.750000;;
0;2630928.81;;<30;1;;
15666677.16;0;;<30;8.100000;;
0;133294.81;;<30;0.500000;;
0;516438.76;;<30;0.750000;;
0;1130098.54;;<30;0.750000;;
0;5388343.70;;<30;0.750000;;
0;5432827.98;;<30;0.750000;;
0;195133.46;;<30;-0.250000;;
0;199626.41;;<30;0.500000;;
0;242349.74;;<30;0.750000;;
0;1000;;<30;1.657900;;
40800000;0;;<30;1.674600;;
10200000;0;;<30;1.674600;;
12200000;0;;<30;1.694300;;
20400000;0;;<30;1.696900;;
12200000;0;;<30;1.703800;;
20400000;0;;<30;1.703800;;
0;10200000;;<30;1.704600;;
10200000;0;;<30;1.704600;;
0;12300000;;<30;1.721500;;
0;10200000;;<30;1.721500;;
14300000;0;;<30;1.739200;;
0;10200000;;<30;1.739200;;
0;10200000;;<30;1.657900;;
0;10200000;;<30;1.657900;;
10200000;0;;<30;1.674600;;
0;20400000;;<30;1.674600;;
0;14300000;;<30;1.693400;;
0;20400000;;<30;1.696900;;
0;20400000;;<30;1.696900;;
20400000;0;;<30;1.703800;;
10200000;0;;<30;1.704600;;
0;12300000;;<30;1.704600;;
10200000;0;;<30;1.721500;;
30700000;0;;<30;1.734100;;
0;10200000;;<30;1.734100;;
10200000;0;;<30;1.739200;;
0;10200000;;<30;1.739200;;
0;12300000;;<30;1.744700;;
10600000;0;;<30;1.744700;;
12300000;0;;<30;1.744700;;
1000000;0;;<30;1.721500;;
0;31300000;;<30;1.721500;;
0;10400000;;<30;1.721500;;
10400000;0;;<30;1.721500;;
10400000;0;;<30;1.731300;;
0;10400000;;<30;1.734100;;
10400000;0;;<30;1.734100;;
0;20900000;;<30;1.744700;;
0;10500000;;<30;1.657900;;
0;25000000;;<30;1.674600;;
0;20900000;;<30;1.674600;;
0;21000000;;<30;1.674600;;
16700000;0;;<30;1.674600;;
0;16500000;;<30;1.674600;;
7700000;0;;<30;1.674600;;
0;16700000;;<30;1.674600;;
10500000;0;;<30;1.674600;;
20900000;0;;<30;1.685800;;
0;10400000;;<30;1.693400;;
0;5200000;;<30;1.693400;;
18800000;0;;<30;1.693400;;
14600000;0;;<30;1.694300;;
10000000;0;;<30;1.694300;;
0;10600000;;<30;1.696900;;
0;12500000;;<30;1.695900;;
0;20900000;;<30;1.695900;;
0;10000000;;<30;1.695900;;
0;10000000;;<30;1.695900;;
10400000;0;;<30;1.703800;;
14600000;0;;<30;1.703800;;
0;20800000;;<30;1.703800;;
20800000;0;;<30;1.708000;;
0;20900000;;<30;1.704600;;
20800000;0;;<30;1.704600;;
20900000;0;;<30;1.704600;;
0;10400000;;<30;1.709100;;
0;20900000;;<30;1.709100;;
0;20900000;;<30;1.709100;;
0;16700000;;<30;1.721500;;
0;10400000;;<30;1.721500;;
0;20900000;;<30;1.709100;;
50000000;0;;<30;1.721500;;
0;31300000;;<30;1.721500;;
10400000;0;;<30;1.731300;;
0;20900000;;<30;1.734100;;
0;54700000;;<30;1.734100;;
10400000;0;;<30;1.734100;;
0;10400000;;<30;1.739200;;
0;10400000;;<30;1.739200;;
0;10400000;;<30;1.739200;;
0;20800000;;<30;1.744700;;
0;35200000;;<30;1.657900;;
15250000;0;;<30;1.657900;;
50000000;0;;<30;1.695900;;
0;15000000;;<30;1.704600;;
0;20800000;;<30;1.709100;;
21000000;0;;<30;1.721500;;
15000000;0;;<30;1.731300;;
0;12000000;;<30;1.709100;;
21000000;0;;<30;1.721500;;
31000000;0;;<30;1.674600;;
0;11000000;;<30;1.694700;;
22000000;0;;<30;1.731300;;
30750000;0;;<30;1.674600;;
0;25000000;;<30;1.674600;;
0;56000000;;<30;1.674600;;
10000000;0;;<30;1.693400;;
0;81000000;;<30;1.693400;;
0;51000000;;<30;1.721500;;
0;4300000;;<30;1.695900;;
0;29000000;;<30;1.709100;;
11000000;0;;<30;1.674600;;
0;15000000;;<30;1.674600;;
20000000;0;;<30;1.674600;;
0;10000000;;<30;1.694700;;
0;15000000;;<30;1.674600;;
102000000;0;;<30;1.674600;;
20000000;0;;<30;1.685800;;
0;20000000;;<30;1.708000;;
0;38300000;;<30;1.693400;;
0;51500000;;<30;1.721500;;
41200000;0;;<30;1.734100;;
0;20400000;;<30;1.674600;;
0;20400000;;<30;1.696900;;
10200000;0;;<30;1.695900;;
16400000;0;;<30;1.703800;;
0;30700000;;<30;1.731300;;
10200000;0;;<30;1.734100;;
0;30700000;;<30;1.739200;;
0;10200000;;<30;1.744700;;
0;190600000;;<30;1.744700;;
44000000;0;;<30;0.872500;;
0;20900000;;<30;1.721500;;
0;12500000;;<30;1.721500;;
0;41800000;;<30;1.734100;;
10400000;0;;<30;1.734100;;
20900000;0;;<30;1.739200;;
0;110000000;;<30;1.657900;;
0;54000000;;<30;1.657900;;
0;14100000;;<30;1.657900;;
0;50000000;;<30;1.693400;;
0;15000000;;<30;1.694300;;
50000000;0;;<30;1.695900;;
0;70000000;;<30;1.695900;;
0;20700000;;<30;1.731300;;
50000000;0;;<30;1.731300;;
15000000;0;;<30;1.731300;;
20000000;0;;<30;1.731300;;
0;10000000;;<30;1.734100;;
0;20700000;;<30;1.739200;;
0;20000000;;<30;1.739200;;
10400000;0;;<30;1.739200;;
0;35300000;;<30;1.744700;;
0;23100000;;<30;1.744700;;
35000000;0;;<30;1.664200;;
45874.25;0;;<30;2.179000;;
32082.47;0;;<30;2.285000;;
32089.53;0;;<30;2.298000;;
0;31864.88;;<30;2.085000;;
10000000;0;;<30;1.731300;;
6000000;0;;<30;1.731300;;
0;20000000;;<30;1.739200;;
31100000;0;;<30;1.739200;;
0;5400000;;<30;1.744700;;
47700000;0;;<30;1.657900;;
10000000;0;;<30;1.657900;;
0;10000000;;<30;1.674600;;
25000000;0;;<30;1.674600;;
21000000;0;;<30;1.674600;;
0;5600000;;<30;1.703800;;
0;21100000;;<30;1.720200;;
19000000;0;;<30;1.734100;;
150000000;0;;<30;1.734100;;
95000000;0;;<30;1.480000;;
0;31000000;;<30;1.674600;;
0;20500000;;<30;1.685800;;
25000000;0;;<30;1.693400;;
0;10300000;;<30;1.694700;;
10200000;0;;<30;1.703900;;
10200000;0;;<30;1.721500;;
0;10300000;;<30;1.721500;;
0;30900000;;<30;1.739200;;
10700000;0;;<30;1.739200;;
0;30800000;;<30;1.739200;;
0;20500000;;<30;1.739200;;
10700000;0;;<30;1.739200;;
0;20500000;;<30;1.739200;;
8300000;0;;<30;1.657900;;
5500000;0;;<30;1.674600;;
0;54800000;;<30;1.674600;;
60300000;0;;<30;1.674600;;
0;120500000;;<30;1.685800;;
27000000;0;;<30;1.694700;;
100000000;0;;<30;1.694300;;
55000000;0;;<30;1.703800;;
0;22687.94;;<30;2.410000;;
0;22621.93;;<30;2.412000;;
13526.96;0;;<30;2.750000;;
50300000;0;;<30;1.657900;;
76000000;0;;<30;1.674600;;
0;20000000;;<30;1.674600;;
4800000;0;;<30;1.693400;;
17000000;0;;<30;1.694700;;
0;20000000;;<30;1.694700;;
31400000;0;;<30;1.696900;;
100000000;0;;<30;1.695900;;
0;6000000;;<30;1.703800;;
0;11000000;;<30;1.721500;;
0;14000000;;<30;1.731300;;
0;11000000;;<30;1.731300;;
5500000;0;;<30;1.731300;;
0;30800000;;<30;1.739200;;
0;11000000;;<30;1.685800;;
104200000;0;;<30;1.693400;;
11000000;0;;<30;1.693400;;
12500000;0;;<30;1.693400;;
13500000;0;;<30;1.693400;;
10400000;0;;<30;1.694300;;
0;20800000;;<30;1.694300;;
0;20800000;;<30;1.694300;;
20900000;0;;<30;1.695900;;
27100000;0;;<30;1.695900;;
42000000;0;;<30;1.695900;;
0;20900000;;<30;1.695900;;
20900000;0;;<30;1.695900;;
2100000;0;;<30;1.703800;;
72500000;0;;<30;1.744700;;
208800000;0;;<30;1.657900;;
0;110200000;;<30;1.657900;;
0;45900000;;<30;1.674600;;
40000000;0;;<30;1.674600;;
0;10000000;;<30;1.674600;;
0;10500000;;<30;1.674600;;
14000000;0;;<30;1.674600;;
10500000;0;;<30;1.685800;;
0;21000000;;<30;1.685800;;
0;20900000;;<30;1.693400;;
0;5200000;;<30;1.693400;;
31300000;0;;<30;1.693400;;
20900000;0;;<30;1.694300;;
10400000;0;;<30;1.696900;;
0;16700000;;<30;1.696900;;
31300000;0;;<30;1.696900;;
0;15000000;;<30;1.695900;;
50000000;0;;<30;1.695900;;
0;10400000;;<30;1.703800;;
6300000;0;;<30;1.703800;;
0;16700000;;<30;1.703800;;
10000000;0;;<30;1.704600;;
20800000;0;;<30;1.704600;;
52200000;0;;<30;1.709100;;
0;10400000;;<30;1.709100;;
0;51500000;;<30;1.739200;;
42000000;0;;<30;1.739200;;
150000000;0;;<30;1.480000;;
0;18000000;;<30;1.674600;;
16400000;0;;<30;1.703800;;
4600000;0;;<30;1.703900;;
10200000;0;;<30;1.721500;;
0;10200000;;<30;1.721500;;
0;50700000;;<30;1.674600;;
16100000;0;;<30;1.739200;;
0;20500000;;<30;1.739200;;
10700000;0;;<30;1.739200;;
0;30700000;;<30;1.739200;;
0;20500000;;<30;1.693400;;
